Expediente,FechaRegistro,Calle,Numero,AlturaObra,Zona,Seccion,Manzana,Parcela,Barrio,Comuna,CodigoPostal,Tipo,MetrosCuadrados,Longitud,Latitud
34643512/18,2019-07-12,GUTENBERG,3023,3023/27,15,71,30,21,Agronomia,15,C1419IDI,Obra Mayor,121.33,-58.498099869718295,-34.5934875416082
26241573/18,2019-06-25,NAVARRO,2923,2923,15,71,42,29a,Agronomia,15,C1419HTE,Obra Media,520.85,-58.4953495785954,-34.5943273453435
10525744/18,2019-08-13,ZAMUDIO,3549,3549,15,61,134,12a,Agronomia,15,C1419EFA,Micro Obra,,-58.488757190349205,-34.5909977977615
32754162/18,2019-07-19,SANCHEZ DE LORIA,371,371/85,9,28,23,31,Almagro,5,C1173ACG,Obra Media,642,-58.41304965134871,-34.6139895506884
31134596/18,2019-08-30,"SALGUERO, JERONIMO",76,76/82,7,17,86,03A,Almagro,5,C1177ADB,Obra Mayor,6100.61,-58.4201850921523,-34.6100426626626
8756720/17,2019-08-26,DIAZ VELEZ AV.,4001,4001/09,7,17,67,26/27,Almagro,5,C1200AAH,Obra Menor,41.59,-58.4231683762875,-34.6084199396153
26746895/15,2019-06-28,DIAZ VELEZ AV.,4363,4363/69,9,17,28,18g,Almagro,5,C1200AAK,Obra Media,788.32,-58.4285386374425,-34.6084272495275
23544795/18,2019-07-15,CORRIENTES AV.,3841,3841/49,7,17,106,2l,Almagro,5,C1194AAE,Obra Mayor,915.44,-58.418631315936395,-34.6034081702219
25747086/19,2019-09-27,CORRIENTES AV.,3684,3684/700,9,13,17,8A,Almagro,5,C1194AAP,Obra Menor,279.14,-58.416622640912294,-34.6039713391011
25057060/18,2019-08-27,CORRIENTES AV.,3581,3581/89,9,13,29,21,Almagro,5,C1194AAB,Obra Media,1632.53,-58.415323665359296,-34.6035676400066
38054232/15,2019-07-11,CASTRO BARROS AV.,130,130/32,6,36,119,9,Almagro,5,C1178AAD,Micro Obra,,-58.4202253552458,-34.6134478662846
20278044/19,2019-09-30,BELGRANO,4226,4226/28,36,29,4,,Almagro,5,C1210AAX,Obra Menor,109,-58.4263376473092,-34.6161805125738
35315824/18,2019-09-27,"MITRE, BARTOLOME",3413,3413/15,9,13,24,9,Almagro,5,C1201AAM,Obra Media,1048.83,-58.41482655015,-34.6092233497424
15450486/19,2019-08-22,TREINTA Y TRES ORIENTALES,160,160,6,36,62,18,Almagro,5,C1182AED,Micro Obra,21.61,-58.424467978857,-34.6154763692461
19339341/19,2019-07-16,ESTADO DE ISRAEL AV.,4316,4316,7,17,36,2,Almagro,5,C1185AAP,Micro Obra,,-58.4267553048277,-34.5981456821526
29524017/17,2019-07-10,ESTADO DE ISRAEL AV.,4334,4334,7,17,36,4,Almagro,5,C1185AAP,Obra Mayor,2254.2,-58.4268918470764,-34.5982402250974
32558681/18,2019-06-27,GUARDIA VIEJA,3978,3978,7,17,94,10,Almagro,5,C1192AAN,Obra Media,1072.17,-58.420237068385106,-34.6008897349387
35068800/18,2019-09-04,GALLO,78,78,9,13,36,15,Almagro,5,C1172ABB,Obra Media,1865.15,-58.4142404846959,-34.607606540511
24681865/19,2019-09-27,MEDRANO AV.,828,828,7,17,83,37,Almagro,5,C1179AAP,Micro Obra,,-58.420901752857,-34.600322659413
